Číslo;Název;registered;envelopes;valid
506761;Alojzov;205;145;144
589268;Bedihošť;834;527;524
589276;Bílovice-Lutotín;431;279;275
589284;Biskupice;238;132;131
589292;Bohuslavice;376;236;236
589306;Bousín;107;67;67
589314;Brodek u Konice;695;460;460
589322;Brodek u Prostějova;1224;656;655
589331;Březsko;178;111;111
589349;Budětsko;331;208;206
589357;Buková;264;170;169
589365;Čehovice;426;281;280
589381;Čechy pod Kosířem;814;512;512
589390;Čelčice;437;272;272
589403;Čelechovice na Hané;1063;649;642
589420;Dětkovice;427;284;281
589438;Dobrochov;270;172;170
589446;Dobromilice;629;308;308
589454;Doloplazy;459;244;244
589462;Drahany;443;290;287
558419;Držovice;1 139;748;742
589489;Dřevnovice;380;220;219
589497;Dzbel;209;133;133
549967;Hačky;83;67;65
589501;Hluchov;292;174;173
589519;Horní Štěpánov;749;454;452
589527;Hradčany-Kobeřice;326;196;194
589535;Hrdibořice;178;109;109
589543;Hrubčice;617;376;374
543543;Hruška;191;90;88
589560;Hvozd;524;340;336
589578;Ivaň;390;238;237
589586;Jesenec;246;139;139
589594;Kladky;289;140;140
589608;Klenovice na Hané;654;355;354
589616;Klopotovice;238;165;165
589624;Konice;2285;1393;1358
589632;Kostelec na Hané;2302;1334;1323
589641;Koválovice-Osíčany;232;152;151
589659;Kralice na Hané;1 257;807;804
589667;Krumsín;465;284;284
589675;Laškov;487;335;334
589683;Lešany;320;196;194
589691;Lipová;615;450;449
589705;Ludmírov;480;239;239
589713;Malé Hradisko;309;185;185
589721;Mořice;422;226;223
589730;Mostkovice;1 248;842;836
589748;Myslejovice;569;371;370
589756;Němčice nad Hanou;1612;942;939
589764;Nezamyslice;1 140;619;615
589772;Niva;257;160;160
589799;Obědkovice;207;95;94
589802;Ohrozim;370;267;266
589811;Ochoz;152;102;99
589829;Olšany u Prostějova;1375;844;839
589837;Ondratice;289;173;171
589845;Otaslavice;1 029;650;647
589853;Otinoves;229;144;143
557196;Pavlovice u Kojetína;232;135;134
589870;Pěnčín;594;352;349
589888;Pivín;565;382;381
589896;Plumlov;1934;1180;1175
549983;Polomí;124;78;78
589250;Prostějov;35975;21073;20934
589918;Prostějovičky;242;138;137
589926;Protivanov;805;549;547
589934;Přemyslovice;1029;621;617
589942;Ptení;880;524;520
589951;Raková u Konice;163;104;101
589969;Rakůvka;80;61;61
589977;Rozstání;503;294;290
506770;Seloutky;410;288;287
589993;Skalka;212;131;131
590002;Skřípov;274;145;144
590011;Slatinky;453;314;313
590029;Smržice;1 319;797;786
590045;Srbce;73;39;39
590053;Stařechovice;447;279;278
590061;Stínava;126;74;73
590070;Stražisko;345;222;220
590088;Suchdol;499;360;356
590096;Šubířov;204;110;109
590100;Tištín;393;215;215
590118;Tvorovice;252;152;152
590126;Určice;1101;613;611
590134;Víceměřice;354;204;204
590142;Vícov;404;254;250
544710;Vincencov;109;80;80
590151;Vitčice;146;84;84
590177;Vranovice-Kelčice;492;321;318
590185;Vrbátky;1306;863;857
590193;Vrchoslavice;478;282;275
590207;Vřesovice;419;281;280
590215;Výšovice;399;266;263
590223;Zdětín;282;196;194
590240;Želeč;436;278;278
Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana
('Občanská demokratická strana', 4552)
('Řád národa - Vlastenecká unie', 50)
('CESTA ODPOVĚDNÉ SPOLEČNOSTI', 65)
('Česká str.sociálně demokrat.', 4558)
('Radostné Česko', 45)
('STAROSTOVÉ A NEZÁVISLÍ', 1609)
('Komunistická str.Čech a Moravy', 5238)
('Strana zelených', 645)
('ROZUMNÍ-stop migraci,diktát.EU', 357)
('Strana svobodných občanů', 578)
('Blok proti islam.-Obran.domova', 63)
('Občanská demokratická aliance', 72)
('Česká pirátská strana', 4250)
